"title","price","stock","category"
"'Salem's Lot","£49.56"," In stock "," Horror "
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination","£44.48"," In stock "," History "
"(Un)Qualified: How God Uses Broken People to Do Big Things","£54.00"," In stock "," Christian "
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","£23.11"," In stock "," Nonfiction "
"1,000 Places to See Before You Die","£26.08"," In stock "," Travel "
"10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!","£49.71"," In stock "," Health "
"1491: New Revelations of the Americas Before Columbus","£21.80"," In stock "," History "
"32 Yolks","£53.63"," In stock "," Food and Drink "
"8 Keys to Mental Health Through Exercise","£31.04"," In stock "," Psychology "
"A Brush of Wings (Angels Walking #3)","£55.51"," In stock "," Add a comment "
"A Court of Thorns and Roses (A Court of Thorns and Roses #1)","£52.37"," In stock "," Fantasy "
"A Distant Mirror: The Calamitous 14th Century","£14.58"," In stock "," History "
"A Fierce and Subtle Poison","£28.13"," In stock "," Young Adult "
"A Flight of Arrows (The Pathfinders #2)","£55.53"," In stock "," Historical Fiction "
"A Gentleman's Position (Society of Gentlemen #3)","£14.75"," In stock "," Romance "
"A Girl's Guide to Moving On (New Beginnings #2)","£31.30"," In stock "," Romance "
"A Heartbreaking Work of Staggering Genius","£54.29"," In stock "," Autobiography "
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam","£27.62"," In stock "," Religion "
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More","£38.77"," In stock "," Food and Drink "
"A Light in the Attic","£51.77"," In stock "," Poetry "
"A Murder in Time","£16.64"," In stock "," Mystery "
"A New Earth: Awakening to Your Life's Purpose","£55.65"," In stock "," Spirituality "
"A Paris Apartment","£39.01"," In stock "," Historical Fiction "
"A People's History of the United States","£40.79"," In stock "," Add a comment "
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations","£56.76"," In stock "," Default "
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer","£56.48"," In stock "," Add a comment "
"A Shard of Ice (The Black Symphony Saga #1)","£56.63"," In stock "," Fantasy "
"A Short History of Nearly Everything","£52.40"," In stock "," History "
"A Study in Scarlet (Sherlock Holmes #1)","£16.73"," In stock "," Mystery "
"A Summer In Europe","£44.34"," In stock "," Travel "
"A Time of Torment (Charlie Parker #14)","£48.35"," In stock "," Mystery "
"A World of Flavor: Your Gluten Free Passport","£42.95"," In stock "," Default "
"A Year in Provence (Provence #1)","£56.88"," In stock "," Travel "
"Aladdin and His Wonderful Lamp","£53.13"," In stock "," Default "
"Algorithms to Live By: The Computer Science of Human Decisions","£30.81"," In stock "," Nonfiction "
"Alice in Wonderland (Alice's Adventures in Wonderland #1)","£55.53"," In stock "," Classics "
"All the Light We Cannot See","£29.87"," In stock "," Historical "
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","£22.50"," In stock "," Default "
"America's War for the Greater Middle East: A Military History","£51.22"," In stock "," History "
"Amid the Chaos","£36.58"," In stock "," Cultural "
"An Unquiet Mind: A Memoir of Moods and Madness","£21.30"," In stock "," Psychology "
"And Then There Were None","£35.01"," In stock "," Classics "
"Angels Walking (Angels Walking #1)","£34.20"," In stock "," Add a comment "
"Animal Farm","£57.22"," In stock "," Classics "
"Approval Junkie: Adventures in Caring Too Much","£58.81"," In stock "," Autobiography "
"Arena","£21.36"," In stock "," Science Fiction "
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)","£58.14"," In stock "," Young Adult "
"Art and Fear: Observations on the Perils (and Rewards) of Artmaking","£48.63"," In stock "," Art "
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others","£29.93"," In stock "," Philosophy "
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)","£28.09"," In stock "," Fantasy "
"Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again","£50.62"," In stock "," Food and Drink "
"Barefoot Contessa Back to Basics","£28.01"," In stock "," Food and Drink "
"Behind Closed Doors","£52.22"," In stock "," Thriller "
"Benjamin Franklin: An American Life","£48.19"," In stock "," Biography "
"Beowulf","£38.35"," In stock "," Classics "
"Beyond Good and Evil","£43.38"," In stock "," Philosophy "
"Birdsong: A Story in Pictures","£54.64"," In stock "," Childrens "
"Black Dust","£34.53"," In stock "," Romance "
"Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality","£25.77"," In stock "," Christian "
"Boar Island (Anna Pigeon #19)","£59.48"," In stock "," Mystery "
"Booked","£17.49"," In stock "," Poetry "
"Born for This: How to Find the Work You Were Meant to Do","£21.59"," In stock "," Business "
"Bossypants","£49.46"," In stock "," Default "
